feature,CD,HYP,MI,NORM,STTC,mean_importance,feature_type
clinical_lead1_qrs_max_mean,0.0,1.3815555481295891,0.1286772744922348,0.08551035582404803,0.14604398914173108,0.34835743351752063,clinical
clinical_lead8_q_depth_mean,0.0,0.12019445827480517,1.340948678893309,0.24811086727887688,0.0,0.3418508008893982,clinical
clinical_lead7_q_width_mean_ms,0.06620076693314844,0.0,1.189612706251921,0.3282615169511156,0.10862257411002617,0.3385395128492422,clinical
lead2_spec_entropy,0.97798097379197,0.22696958361108371,0.2404334062020809,0.13517023026180303,0.08203793053109656,0.3325184248796068,baseline
clinical_t_duration_mean_ms,0.17007690606697906,0.2257695682815831,0.6046481934880897,0.20007651485773106,0.44582242379350384,0.32927872129757735,clinical
clinical_lead5_q_depth_mean,0.0,0.2304547618042418,1.3644855155397633,0.0,0.04614749321428188,0.3282175541116574,clinical
clinical_lead2_qrs_max_mean,0.28082751408074424,0.04432811787962711,0.5689391464624718,0.7161586491714924,0.0,0.3220506855188671,clinical
clinical_lead6_st_deviation_mean,0.08459469534157205,0.27238650387922214,0.6862495586743725,0.2653055234589105,0.3009742612583076,0.321902108522477,clinical
clinical_lead5_q_r_ratio_mean,0.0,0.16576340307178078,1.224042027326271,0.18308601521539844,0.03613233865874574,0.3218047568544392,clinical
lead6_skew,0.6009247057470721,0.22760724369923424,0.294883160512677,0.4022773858927814,0.061116001538587615,0.31736169947807047,baseline
clinical_lead11_st_slope_mean,0.050423831938291794,0.0762135122722479,0.0,0.8072160518240523,0.6146778885564693,0.3097062569182123,clinical
corr_V1_V5,0.05356333040517604,0.6768023255222323,0.26351428539958865,0.20326032543487565,0.32115727846445186,0.3036595090452649,baseline
lead11_max,0.0,0.8383252392486495,0.07210698824254667,0.33576411195609784,0.26655330279333994,0.30254992844812684,baseline
lead5_hf2_energy,0.13490078391477242,0.14432052149872715,0.7006161902728617,0.4114355452621459,0.10801982766847928,0.2998585737233973,baseline
clinical_lead9_q_width_mean_ms,0.2714286049710057,0.15941805846841486,0.2803253047706622,0.34353908483351475,0.442301615791528,0.2994025337670251,clinical
clinical_pr_interval_mean_ms,0.3395506298669287,0.14519980129808535,0.4601226744084794,0.4704863252099301,0.08043078080956335,0.29915804231859744,clinical
clinical_lead8_t_amp_mean,0.13634031912660255,0.13700002084221824,0.1730252539583322,0.6799470426968017,0.36751295517164784,0.29876511835912056,clinical
clinical_lead3_qrs_min_mean,0.0,0.4312094380695042,0.8472782860216507,0.20977687884414245,0.0,0.29765292058705944,clinical
lead7_dom_freq,1.0531867145727178,0.16951830357652858,0.06077896892737209,0.19859562141579276,0.0,0.29641592169848224,baseline
lead10_median,0.3378377594058867,0.12403442028461922,0.41561586476528306,0.17812882439684757,0.41797916773036703,0.2947192073166007,baseline
clinical_lead4_qrs_min_mean,0.15024519991321988,0.1511055378498306,0.4997613355406053,0.292740307864087,0.3428208081663115,0.28733463786681085,clinical
lead12_spec_entropy,0.5008658182598408,0.4741405163096961,0.06488547126011265,0.06627613362330648,0.32532222322886284,0.28629803253636377,baseline
clinical_lead2_q_r_ratio_mean,0.0,0.7639808661383687,0.255360164397816,0.0,0.37529256377813414,0.2789267188628638,clinical
