feature,perm_mean_CD,perm_std_CD,perm_mean_HYP,perm_std_HYP,perm_mean_MI,perm_std_MI,perm_mean_NORM,perm_std_NORM,perm_mean_STTC,perm_std_STTC,perm_mean_global,perm_std_global,builtin_mean_importance,feature_type
lead9_hf2_energy,0.0,0.0,0.0006154154231594155,0.0004140623609494106,-0.00010853098067816757,0.00017620113018886163,0.00014044386278366794,0.00016695452885898994,0.001190073640915079,0.0012433433843160543,0.00036748038923599895,0.0004001122808626633,0.17173019316350016,baseline
lead8_hf2_energy,0.0008591128131050119,0.000426394670799383,0.00019497687165146438,0.0004217243625669248,0.00021493698031644916,0.00033900466205705464,0.00018506244977798403,7.97217741916902e-05,0.0003598747882749831,0.00022944371399821233,0.00036279278062517856,0.000299257836722653,0.2028947370114768,baseline
clinical_lead2_st_deviation_mean,0.0,0.0,0.00023942157737487645,0.0002355183343884067,0.0011627192251913443,0.0008116432910368571,0.00011686452894469346,7.563973659569808e-05,0.00029361935568831263,0.00035835203433668897,0.0003625249374398454,0.00029623067927153017,0.13260531664669856,clinical
lead11_kurt,0.0,0.0,0.0009221031097736643,0.00020476597611509596,0.00026472404520779815,0.00015370251438991806,3.630088472689197e-05,0.00017036622437285702,0.0005823035335018045,0.000501172825375281,0.00036108631464203177,0.0002060015080506304,0.08084524010118158,baseline
lead8_dom_freq,6.953328588464869e-05,0.0001773297341597717,0.000438518369181784,0.0002908971135959166,0.0,0.0,0.0007821017353363491,0.00025323425740272996,0.0005150527622821644,0.0004554361925267961,0.0003610412305369892,0.00023537945953704286,0.19259211302844648,baseline
clinical_lead8_q_width_mean_ms,0.0012118995593498494,0.00046002978035963334,-0.00043978062016493126,0.0004687853086531368,0.00042236088216868195,0.0007408601505118912,0.00015435765149456325,4.247440024611153e-05,0.00044489687587284665,0.0002699291250619496,0.000358746869744202,0.0003964157529665445,0.14941135828388186,clinical
lead3_spec_entropy,0.0011661775447887601,0.0009276198986063109,0.000859679814545955,0.000805849149597797,-0.00027117329730601546,0.0007917566064535339,0.00011136676942168356,0.00025655741686534626,-9.466043357885257e-05,0.00012151970517830567,0.0003542780795743061,0.0005806605553402587,0.43832254996068654,baseline
lead5_std_diff,0.0,0.0,0.0018943777509287997,0.0006243754251699319,0.0,0.0,-0.00012396853409021302,9.112826909425365e-05,0.0,0.0,0.00035408184336771736,0.0001431007388528371,0.04493352259230969,baseline
clinical_lead8_st_deviation_mean,0.0,0.0,0.00011377166166498531,0.0002490142861545899,5.919590136593822e-06,0.0002211199671143414,0.0,0.0,0.001611374173906155,0.0006794414139080047,0.0003462130851415468,0.0002299151334353872,0.1347283719897844,clinical
lead12_spec_entropy,0.0016822663683088712,0.0003301395477946804,0.000839254649426302,0.0010269735123646134,-0.0006505463598073136,0.00024055444458789517,-1.2366008581976562e-05,8.651428380373544e-05,-0.0001768311894158714,0.0008166101854097873,0.0003363554919860024,0.0005001583947921424,0.28629803253636377,baseline
lead12_kurt,0.00025413066550078467,0.0007103161557163822,0.0007909442030317959,0.0006362239674709648,0.0003780213514267605,0.0001198568668770948,0.00020242256477395192,7.450327443321494e-05,4.5140221731188035e-05,0.0002757357409304993,0.0003341318012928962,0.0003633272010856312,0.1940057809358458,baseline
lead8_range,0.0009947224178861957,0.000312540934660644,0.00040538280530758584,0.0005078709973694596,0.0004508180157683173,0.0003464159639130575,4.093414203354406e-05,5.769599903348557e-05,-0.00023254704496963318,0.0003864193397417179,0.00033186206720520195,0.0003221886469436729,0.09468427886942128,baseline
heart_axis_ALAD,0.0,0.0,0.0,0.0,0.0,0.0,0.00020788777835595296,0.00017068651253697285,0.0014294244727590776,0.0008976779575858854,0.0003274624502230061,0.00021367289402457164,0.0924060494737891,baseline
